symbol,number,covalent_radius,number_of_valence_electrons,FirstIonization,dipole_polarizability,Density,Period,Group,Electronegativity
Bh,107,141,7,,38,3.70E+01,7,7,
Hs,108,134,8,,36,4.10E+01,7,8,
Mt,109,129,9,,34,3.50E+01,7,9,
Ds,110,128,10,,32,,7,10,
Rg,111,121,11,,32,,7,11,
Cn,112,122,12,,28,,7,12,
Nh,113,136,3,,29,,7,13,
Fl,114,143,4,,31,,7,14,
Mc,115,162,5,,71,,7,15,
Lv,116,175,6,,,,7,16,
Ts,117,165,7,,76,,7,17,
Og,118,157,8,,58,,7,18,
